t,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
216.27,0.008743924046641498,-0.005995908275688598,0.0033183130640268357,0.2233768459749452,-0.08735826324916812,-9.497595906727582,37.52772241738794,-5.502404228599535,45.820464336869065
216.28,0.008242678974066785,-0.005324442032120511,0.00361439774662155,0.196122491085566,-0.07571015120636976,-9.494665931963915,37.423366657843275,-5.421429472655266,45.80706825781869
216.29,0.009176724422315667,-0.005929743790780083,0.0023904710043832897,0.21521062872119343,-0.09892560014056805,-9.495498112204656,37.56035706553168,-5.553912278225958,45.8032502834066
216.3,0.007771531909078334,-0.005502290092632463,0.003717512169139078,0.2197080639949602,-0.0745633929211894,-9.503009614727553,37.38757873125274,-5.669560989091919,45.831390740301764
216.31,0.008126804002075504,-0.005487505269860196,0.003668926176736481,0.21001648828964478,-0.098322162703379,-9.493924367827177,37.4671570423707,-5.602946198551678,45.91627709989992
216.32,0.00846444906495422,-0.005340560000068243,0.0037909118683080913,0.20256388937243783,-0.1084870307710183,-9.48302669965744,37.66691139304688,-5.358065357188133,46.00746043643193
216.33,0.008488973172293164,-0.006205339403900955,0.002368305616588896,0.20990687298022984,-0.09283915828284127,-9.488198242228764,37.61220257910306,-5.585701421891737,45.77390217910547
216.34,0.009008782438649592,-0.005657296666599253,0.0035825312958517232,0.2324398120584034,-0.10384475914107771,-9.495412237118032,37.64292150675866,-5.492328674603174,45.803795468703804
216.35,0.00846954416919023,-0.005671716005110325,0.003583491471701021,0.20042293139234627,-0.10382886581400304,-9.498859580361795,37.620273976703466,-5.589934944708085,45.94196460317945
216.36,0.008434432330051526,-0.005335292961483946,0.003929064020619918,0.21678855743540637,-0.09745286898622835,-9.495073085399456,37.42650149040449,-5.547858432099294,46.05237309481525
216.37,0.008977829335855303,-0.005909145665058819,0.002828963453362876,0.22096045559846375,-0.08818083203629487,-9.500272308430196,37.53051824842962,-5.589274101819083,45.871081054852155
216.38,0.008502383634718613,-0.005214811850618981,0.003365638438139496,0.21169142083416018,-0.10102428125533879,-9.498051833007635,37.53633097533591,-5.462724304206702,45.807149170599175
216.39000000000001,0.008321731690454845,-0.0058637571051953245,0.003681682541270801,0.20667139233198778,-0.09156506010822368,-9.490430548044253,37.54636795373431,-5.627558211038188,45.852724919086896
216.4,0.008621690710937123,-0.005422369857615893,0.0031751439008540308,0.2136050542157709,-0.09339343406124477,-9.496888256206038,37.32652140735161,-5.6049967443275674,45.938163647952315
216.41,0.008371902982148006,-0.005686551067813405,0.0027878288670491144,0.2262656786918608,-0.08482670451379977,-9.482404546747482,37.454872218990694,-5.56757722019565,46.02000671130107
216.42000000000002,0.00867954865025661,-0.005641647345118206,0.0031005292824369183,0.20766666055218816,-0.08978162718078973,-9.492422551032446,37.53138272851319,-5.68883474547073,45.89108078561642
216.43,0.007844310701801136,-0.006172486155613018,0.003898088679606223,0.21055133265711656,-0.11314234826481061,-9.494668944431835,37.488189623302524,-5.531660197163481,45.87862384072987
216.44,0.008005525876119466,-0.005763710928305423,0.0036375147776914933,0.22145797113878699,-0.09835345046578096,-9.490102992153892,37.61965943467326,-5.461544888567054,46.15476309571275
216.45000000000002,0.00918601407179951,-0.006173634970167724,0.003864357497438813,0.22110675775788244,-0.10399783164271603,-9.498238866403867,37.576595718939195,-5.720141958261591,45.86277586207342
