t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
23.25,-124.33270170094572,-69.95856248604352,-169.7996650403652,-0.31637758630725993,0.2289252408679262,0.4480687495463738,-0.9674917653492846,0.27228781656929524,0.19216215428535263,-0.681987667913822,-0.7031745379555219,-0.2170512261602935,29.588992957735567
23.26,-123.82304308093178,-69.82357465265811,-170.53904810261795,-0.3098672084692046,0.2298281730231008,0.44525276138996595,-0.9421537645705771,0.28945373974511307,0.1911891225518768,-0.6747776545814321,-0.6740941834933097,-0.24996052805326777,29.58998499976032
23.27,-123.32105919054261,-69.68653018220192,-171.27305499997294,-0.3203328301573722,0.2362906846846208,0.4480322158655408,-0.9259649440824227,0.29954908798303614,0.2092564706412573,-0.6641872505108203,-0.6891809951908298,-0.254302022899163,29.59097589428884
23.28,-122.8267477258803,-69.54745635283551,-172.00168280281574,-0.32434127256820505,0.23958068200850108,0.4463780493755188,-0.9295098355149094,0.2559143644607016,0.16915857307164672,-0.6768578535408124,-0.6884152335423462,-0.2446511832583342,29.591965641073415
23.29,-122.34010183018654,-69.40638056001852,-172.72493307825496,-0.3281255935768289,0.23022629346528706,0.4525732132921912,-0.9403459221919105,0.27435060421848345,0.1886125898310414,-0.6822913650199927,-0.6870091762896808,-0.24379795782879218,29.5929542398666
23.3,-121.8611102891311,-69.26333029077746,-173.44281169520855,-0.32936332295934473,0.23519241877558247,0.45157338421905907,-0.9241893588607404,0.31624492946158766,0.1987628555626374,-0.6972010286188878,-0.6748321924462379,-0.24440185800797398,29.593941690421254
23.31,-121.38975772581374,-69.11833309923209,-174.15532862976482,-0.3347740268345703,0.23741072227588156,0.45388019277444014,-0.9136649507115745,0.27709695874275075,0.21025471334139872,-0.6811237826828316,-0.6753591032154673,-0.2555892753573122,29.594927992490504
23.32,-120.92602479481594,-68.97141658337144,-174.86249777148169,-0.3353299173995284,0.23852665459306058,0.45230095295691414,-0.9555269338886675,0.2816959798355061,0.21940031463682552,-0.6944186299811911,-0.6714332738231942,-0.2576413974150686,29.595913145827783
23.330000000000002,-120.46988837469453,-68.8226083630676,-175.5643367312333,-0.34193824631707226,0.24097095891018477,0.4536662494545696,-0.9354159963673151,0.3000825451470396,0.19038033171818608,-0.6954179531410623,-0.665624685849092,-0.25446137261018204,29.5968971501868
23.34,-120.02132175836064,-68.67193605930977,-176.2608666511582,-0.34361948423587657,0.24289768784431087,0.45796588791664883,-0.9456734205452889,0.2868077942987867,0.19030405139609494,-0.7058150777593395,-0.6763744189720196,-0.2568623931764133,29.597880005321553
23.35,-119.58029484084226,-68.51942727463795,-176.9521120172129,-0.3469366498390485,0.24159057810033666,0.459803783127462,-0.9547020779981997,0.3171586462902104,0.15242579727184408,-0.6990022739718954,-0.6680225156889806,-0.2617495828272505,29.598861710986327
